"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Happy path for authors","1","0","View an existing author","0"
"0","","1","Edge cases for authors","0","0","Idempotent removal - repeating the operation","0"
"0","","1","Happy path for books","0","0","Update a book","0"
"0","","3","Edge cases for books","0","0","Rejecting an attempt to add a book without required information","0"
"0","","1","Happy path for authors","0","0","Remove an author","0"
"0","","0","Happy path for books","1","0","View an existing book","0"
"0","","0","Edge cases for authors","3","0","Attempting to view an author that does not exist","0"
"0","","1","Happy path for authors","0","0","Update an author","0"
"0","","1","Happy path for authors","0","0","Fast end-to-end path CRUD","0"
"0","","0","Edge cases for books","3","0","Attempting to view a book that does not exist","0"
"0","","1","Edge cases for books","0","0","Rejecting an ambiguous update","0"
"0","","1","Edge cases for books","0","0","Idempotent removal - repeating the operation","0"
"0","","1","Happy path for authors","0","0","Add a new author","0"
"0","","3","Edge cases for authors","0","0","Rejecting an attempt to add an author without required information","0"
"0","","1","Happy path for books","0","0","Remove a book","0"
"0","","1","Edge cases for authors","0","0","Rejecting an ambiguous update","0"
"0","","1","Happy path for books","0","0","Add a new book","0"
"0","","1","Happy path for books","0","0","Fast end-to-end path CRUD","0"
